Year;Month;Day;Max;Min;Rain, Melted Snow, Etc. (in);Snow, Ice, Pellets, Hail (in);Snow, Ice, Pellets, Hail, Ice on Ground (in)
2019;1;1;58;39;0,06;0;0
2019;1;2;40;35;0;0;0
2019;1;3;44;37;0;0;0
2019;1;4;47;35;0;0;0
2019;1;5;47;41;0,5;0;0
2019;1;6;49;31;T;0;0
2019;1;7;34;25;0;0;0
2019;1;8;45;34;0,17;T;0
2019;1;9;45;34;0,06;0;0
2019;1;10;34;28;0;0;0
2019;1;11;30;21;0;0;0
2019;1;12;34;20;0;0;0
2019;1;13;33;25;T;T;0
2019;1;14;32;22;0;0;0
2019;1;15;36;25;0;0;0
2019;1;16;39;30;0;0;0
2019;1;17;33;24;0;0;0
2019;1;18;39;29;0,05;0,5;1,2
2019;1;19;37;32;0,29;0,2;0
2019;1;20;42;14;0,88;0;0
2019;1;21;14;4;0;0;0
2019;1;22;31;13;0;0;0
2019;1;23;52;31;T;0;0
2019;1;24;59;35;1,33;0;0
2019;1;25;40;28;0;0;0
2019;1;26;35;24;0;0;0
2019;1;27;49;32;0;0;0
2019;1;28;38;25;0;0;0
2019;1;29;43;25;0,23;T;0
2019;1;30;35;6;0,01;0,4;0
2019;1;31;16;2;0;0;0
;;Summary;39;26;3,58;1,1;
